code,city,country,name,region,lat,lon,latlon,C40,coastal
abi,Abidjan,Côte d’Ivoire,"Abidjan, Côte d’Ivoire",Africa,5.3599517,-4.0082563,"5.3599517,-4.0082563",1,1
acc,Accra,Ghana,"Accra, Ghana",Africa,5.5600141,-0.2057447,"5.5600141,-0.2057447",1,1
add,Addis Ababa,Ethiopia,"Addis Ababa, Ethiopia",Africa,9.0322326,38.7464996,"9.0322326,38.7464996",1,0
ahm,Ahmedabad,India,"Ahmedabad, India",South & West Asia,23.0225,72.5714,"23.0225,72.5714",1,0
amm,Amman,Jordan,"Amman, Jordan",South & West Asia,31.9454,35.9284,"31.9454,35.9284",1,0
ams,Amsterdam,The Netherlands,"Amsterdam, The Netherlands",Europe,52.3675734,4.9041385,"52.3675734,4.9041385",1,0
asu,Asunción,Paraguay,"Asunción, Paraguay",Latin America,-25.30066,-57.63591,"-25.30066,-57.63591",0,0
ath,Athens,Greece,"Athens, Greece",Europe,37.9838096,23.7275388,"37.9838096,23.7275388",1,0
atl,Atlanta,USA,"Atlanta, USA",North America,33.7488,-84.3877,"33.7488,-84.3877",0,0
auk,Auckland,New Zealand,"Auckland, New Zealand","East, Southeast Asia & Oceania",-36.8484606,174.7633329,"-36.8484606,174.7633329",1,0
aus,"Austin,TX",USA,"Austin,TX, USA",North America,30.2672,-97.7431,"30.2672,-97.7431",1,0
bag,Baghdad,Iraq,"Baghdad, Iraq",South & West Asia,33.3152,44.3661,"33.3152,44.3661",0,0
bar,Barcelona,Spain,"Barcelona, Spain",Europe,41.3850639,2.1734035,"41.3850639,2.1734035",1,1
bei,Beijing,China,"Beijing, China",Central East Asia,39.9041999,116.4073963,"39.9041999,116.4073963",1,0
ben,Bengaluru,India,"Bengaluru, India",South & West Asia,12.9716,77.5946,"12.9716,77.5946",1,0
ber,Berlin,Germany,"Berlin, Germany",Europe,52.5200066,13.404954,"52.5200066,13.404954",1,0
bgk,Bangkok,Thailand,"Bangkok, Thailand","East, Southeast Asia & Oceania",13.7563309,100.5017651,"13.7563309,100.5017651",1,1
blt,Baltimore,USA,"Baltimore, USA",North America,39.2904,-76.6122,"39.2904,-76.6122",0,0
bog,Bogotá,Colombia,"Bogotá, Colombia",Latin America,4.711,-74.0721,"4.711,-74.0721",1,0
bos,"Boston,MA",USA,"Boston,MA, USA",North America,42.3601,-71.0589,"42.3601,-71.0589",1,1
bra,Brasilia,Brazil,"Brasilia,Brazil",Latin America,-15.793889,-47.882778,"-15.793889,-47.882778",0,0
bue,Buenos Aires,Argentina,"Buenos Aires, Argentina",Latin America,-34.6118,-58.4173,"-34.6118,-58.4173",1,1
cai,Cairo,Egypt,"Cairo, Egypt",Africa,30.0444,31.2357,"30.0444,31.2357",0,0
cal,Calgary,Canada,"Calgary, Canada",North America,51.049999,-114.066666,"51.049999,-114.066666",0,0
cdu,Chengdu,China,"Chengdu, China",Central East Asia,30.572816,104.066801,"30.572816,104.066801",1,0
cha,"Charlotte,NC",USA,"Charlotte,NC, USA",North America,35.2216,-80.8401,"35.2216,-80.8401",0,0
che,Chennai,India,"Chennai, India",South & West Asia,13.0827,80.2707,"13.0827,80.2707",1,1
chi,"Chicago,IL",USA,"Chicago,IL, USA",North America,41.8781,-87.6298,"41.8781,-87.6298",1,1
cho,Chongqing,China,"Chongqing, China",Central East Asia,29.564667323997277,106.55106154718992,"29.564667323997277,106.55106154718992",0,0
