"code","delta_lat","delta_lon","total_box_length"
"abi",0.59,0.592536857601156,1.18
"acc",0.64,0.643009340767073,1.28
"add",0.64,0.648029264169292,1.28
"ahm",0.65,0.706197479790151,1.3
"amm",0.51,0.601296297139518,1.02
"ams",0.6,0.98271379752437,1.2
"asu",0.61,0.67455723272673,1.22
"ath",0.52,0.659698360053059,1.04
"atl",0.67,0.807173582235185,1.34
"auk",0.6,0.749849705621138,1.2
"aus",0.55,0.636935838989725,1.1
"bag",0.64,0.766934204844022,1.28
"bar",0.6,0.799620141391567,1.2
"bei",0.59,0.768640032881067,1.18
"ben",0.55,0.564381156040152,1.1
"ber",0.57,0.937295937286831,1.14
"bgk",0.56,0.576449171203702,1.12
"blt",0.47,0.607320768370825,0.94
"bog",0.64,0.642178187834566,1.28
"bos",0.45,0.608850753618341,0.9
"bra",0.72,0.748165048068245,1.44
"bue",0.55,0.668145872477029,1.1
"cai",0.53,0.612477888194562,1.06
"cal",0.58,0.92253244850225,1.16
"cdu",0.65,0.756103830984646,1.3
"cha",0.52,0.636456746601724,1.04
"che",0.69,0.708303551392755,1.38
"chi",0.71,0.953957657272828,1.42
"cho",0.6,0.689739714951862,1.2
"cin",0.58,0.747682975217369,1.16
"cle",0.55,0.73420941026221,1.1
"col",0.53,0.691819428858426,1.06
"cop",0.61,1.08165135982321,1.22
"cpt",0.62,0.748042309371614,1.24
"cur",0.53,0.586939754529182,1.06
"dak",0.6,0.620456915859091,1.2
"dal",0.52,0.619121171112398,1.04
"dar",0.55,0.553892057711575,1.1
"dc",0.79,1.01551821165828,1.58
"del",0.52,0.592522871335063,1.04
"den",0.6,0.780248309331867,1.2
"det",0.64,0.866610642365572,1.28
"dha",0.59,0.644855783685272,1.18
"dln",0.5,0.642506663123572,1
"dmv",0.79,1.01551821165828,1.58
"dub",0.58,0.641730805618994,1.16
"dur",0.53,0.610436417666208,1.06
"eku",0.57,0.635202619626596,1.14
"fre",0.53,0.535844970668069,1.06
"fuz",0.65,0.723625567293072,1.3
"gua",0.48,0.512884695010971,0.96
"gyq",0.74,0.740507444075973,1.48
"gzh",0.49,0.532892395026574,0.98
"han",0.53,0.56778454772683,1.06
"har",0.7,0.938198657684227,1.4
"hcm",0.64,0.651458478036954,1.28
"hei",0.8,1.23128063868675,1.6
"hk",0.48,0.518908149831011,0.96
"hou",0.56,0.645091322120031,1.12
"hyd",0.53,0.555300597316149,1.06
"hzh",0.54,0.625195921912695,1.08
"ind",0.52,0.676542516552157,1.04
"ist",0.62,0.822283066300661,1.24
"jac",0.55,0.637206650448034,1.1
"jak",0.56,0.563281838445157,1.12
"joh",0.57,0.635202619626596,1.14
"kab",0.53,0.643327340094193,1.06
"kua",0.57,0.570887601081104,1.14
"kan",0.58,0.747506116328356,1.16
"kar",0.53,0.58413632712217,1.06
"kin",0.63,0.631809948019784,1.26
"kol",0.66,0.714312168703792,1.32
"kyi",0.64,1.0041207256397,1.28
"la",0.5,0.603550445533592,1
"lag",0.55,0.553516739636156,1.1
"lah",0.48,0.563432384585084,0.96
"las",0.52,0.643739728540855,1.04
"lim",0.56,0.572680362666383,1.12
"lis",0.61,0.782208210725851,1.22
"lon",0.58,0.932293233370642,1.16
"lou",0.6,0.764062173588559,1.2
"lua",0.69,0.698259308319164,1.38
"mad",0.69,0.906560342746337,1.38
"man",0.77,1.29309299967885,1.54
"med",0.55,0.55333677009251,1.1
"mel",0.63,0.797541399846003,1.26
"mem",0.64,0.782689194381919,1.28
"mex",0.57,0.60423230696219,1.14
"mia",0.55,0.610742377412351,1.1
"mil",0.63,0.898360567947952,1.26
"mlw",0.55,0.752688891729485,1.1
"mon",0.57,0.813163179946221,1.14
"mos",0.56,0.996816200690334,1.12
"msp",0.64,0.904629716474719,1.28
"mty",0.58,0.643604354053464,1.16
"mum",0.69,0.729628650428638,1.38
"nai",0.69,0.690165447224815,1.38
"nag",0.61,0.746229933708438,1.22
"naj",0.53,0.62516065101683,1.06
"nas",0.58,0.718246159833606,1.16
"nor",0.5,0.577129890016663,1
"nyc",0.64,0.845071539051897,1.28
"nzh",0.64,0.754979674678448,1.28
"okc",0.69,0.848554719824379,1.38
"orl",0.56,0.637142210018821,1.12
"osa",0.63,0.766169499256665,1.26
"osl",0.57,1.13726506051275,1.14
"oua",0.51,0.522122097705071,1.02
"pap",0.53,0.558947601972658,1.06
"par",0.58,0.882215789214913,1.16
"phl",0.56,0.730177763444264,1.12
"phn",0.51,0.520563215658939,1.02
"phx",0.58,0.69483399822529,1.16
"pit",0.55,0.722620563058674,1.1
"por",0.57,0.813403951528326,1.14
"pvd",0.69,0.926843712612518,1.38
"qin",0.46,0.56934123294455,0.92
"que",0.61,0.630846217015074,1.22
"qui",0.52,0.520003314897053,1.04
"ral",0.51,0.628701580945885,1.02
"ric",0.6,0.756743966554957,1.2
"rio",0.55,0.597444736820173,1.1
"riv",0.53,0.640015318434397,1.06
"riy",0.53,0.583391509336558,1.06
"rom",0.54,0.725166797651512,1.08
"rot",0.53,0.86238062407715,1.06
"sac",0.53,0.678437061634612,1.06
"sal",0.55,0.564477685370578,1.1
"san",0.51,0.611626904552145,1.02
"sao",0.59,0.643545568584297,1.18
"sdo",0.6,0.632801708565625,1.2
"sea",0.66,0.979015490196474,1.32
"seo",0.6,0.756152665099305,1.2
"sf",0.48,0.607369545297721,0.96
"shg",0.61,0.713615179362387,1.22
"shz",0.63,0.681148353965769,1.26
"sin",0.74,0.740216904096699,1.48
"sjc",0.88,1.10680532795993,1.76
"sjn",0.46,0.484912113884054,0.92
"slc",0.79,1.04156925241837,1.58
"slo",0.64,0.819339990980745,1.28
"sna",0.63,0.723333638895636,1.26
"snd",0.57,0.677761661673126,1.14
"sto",0.64,1.25401291609056,1.28
"syd",0.55,0.662482203071643,1.1
"teh",0.63,0.774444973619574,1.26
"tel",0.58,0.683207272626542,1.16
"tia",0.56,0.721986237029232,1.12
"tij",0.53,0.628441400557182,1.06
"tok",0.55,0.677514608861929,1.1
"tor",0.69,0.955656325044104,1.38
"tpa",0.63,0.714041632933244,1.26
"tsh",0.71,0.788307743519502,1.42
"van",0.58,0.889203278750898,1.16
"vib",0.6,0.749923298496035,1.2
"war",0.57,0.931645878720513,1.14
"wuh",0.36,0.418152093100319,0.72
"xia",0.52,0.629056532265558,1.04
"yok",0.64,0.787311223590714,1.28
"zhe",0.69,0.815524980008286,1.38
